url_length,hostname_length,path_length,num_dots,num_hyphens,num_slashes,num_digits,num_special_chars,has_ip,has_https,num_subdomains,contains_phishing_words
32,24,0,2,0,2,0,0,0,1,1,1
24,16,0,2,1,2,0,0,0,1,1,0
30,22,0,3,0,2,0,0,0,1,2,0
27,19,0,2,0,2,0,0,0,1,1,0
34,26,0,2,0,2,0,0,0,1,1,0
31,23,0,2,0,2,0,0,0,1,1,0
26,18,0,2,0,2,0,0,0,1,1,0
26,18,0,2,0,2,0,0,0,1,1,0
30,22,0,2,0,2,0,0,0,1,1,0
19,11,0,2,0,2,0,0,0,1,1,0
34,26,0,2,0,2,0,0,0,1,1,0
23,16,0,2,0,2,0,0,0,0,1,0
28,20,0,2,0,2,0,0,0,1,1,0
21,13,0,2,0,2,2,0,0,1,1,0
27,19,0,2,0,2,0,0,0,1,1,0
25,17,0,2,0,2,0,0,0,1,1,0
21,13,0,2,0,2,0,0,0,1,1,0
22,14,0,2,0,2,0,0,0,1,1,0
22,14,0,2,0,2,0,0,0,1,1,0
23,15,0,3,0,2,0,0,0,1,2,0
27,20,0,3,0,2,7,0,0,0,2,0
24,17,0,2,0,2,0,0,0,0,1,0
29,21,0,2,0,2,0,0,0,1,1,0
30,22,0,2,0,2,0,0,0,1,1,0
34,26,0,4,0,2,0,0,0,1,3,0
26,18,0,2,0,2,0,0,0,1,1,0
37,29,0,2,0,2,0,0,0,1,1,0
38,29,1,2,1,3,0,0,0,1,1,0
33,26,0,3,1,2,2,0,0,0,2,0
27,18,1,2,1,3,4,0,0,1,1,0
22,14,0,2,0,2,0,0,0,1,1,0
92,7,52,2,0,4,7,3,0,1,0,0
40,32,1,2,2,3,12,0,0,0,1,0
25,17,0,2,0,2,0,0,0,1,1,0
35,26,1,2,0,3,2,0,0,1,1,0
24,16,0,3,0,2,0,0,0,1,2,0
33,25,0,2,0,2,0,0,0,1,1,0
20,13,0,2,0,2,0,0,0,0,1,0
20,12,0,2,0,2,0,0,0,1,1,0
28,21,0,2,0,2,0,0,0,0,1,0
28,21,0,3,0,2,0,0,0,0,2,0
33,24,1,2,1,3,2,0,0,1,1,0
25,17,0,2,0,2,0,0,0,1,1,0
30,22,0,2,0,2,0,0,0,1,1,0
42,33,1,2,3,3,3,0,0,1,1,0
140,23,11,1,2,6,19,7,0,1,0,0
28,20,0,2,0,2,0,0,0,1,1,0
28,20,0,3,0,2,0,0,0,1,2,0
25,17,0,2,0,2,0,0,0,1,1,0
23,16,0,2,0,2,0,0,0,0,1,0
35,26,1,2,1,3,6,0,0,1,1,0
25,17,0,2,0,2,0,0,0,1,1,0
32,23,1,1,0,3,0,0,0,1,0,0
26,18,0,2,0,2,0,0,0,1,1,0
25,18,0,2,0,2,0,0,0,0,1,0
20,12,0,2,0,2,0,0,0,1,1,0
27,19,0,2,0,2,0,0,0,1,1,0
37,12,17,1,0,4,4,0,0,1,0,0
22,14,0,2,0,2,0,0,0,1,1,0
31,22,1,2,1,3,1,0,0,1,1,0
31,24,0,2,0,2,0,0,0,0,1,0
36,28,0,3,0,2,0,0,0,1,2,0
26,18,0,2,0,2,0,0,0,1,1,0
18,10,0,2,0,2,0,0,0,1,1,0
25,17,0,2,0,2,0,0,0,1,1,0
26,18,0,2,0,2,0,0,0,1,1,0
26,18,0,2,0,2,0,0,0,1,1,0
21,13,0,2,0,2,0,0,0,1,1,0
31,24,0,3,0,2,0,0,0,0,2,0
24,17,0,2,0,2,0,0,0,0,1,0
23,15,0,2,0,2,0,0,0,1,1,0
21,14,0,2,0,2,0,0,0,0,1,0
27,20,0,3,0,2,7,0,0,0,2,0
26,17,1,2,0,3,0,0,0,1,1,0
29,21,0,2,0,2,0,0,0,1,1,0
35,27,0,2,0,2,0,0,0,1,1,0
24,16,0,2,0,2,1,0,0,1,1,0
92,16,68,3,0,5,39,1,0,1,1,0
35,27,0,2,0,2,0,0,0,1,1,0
27,19,0,2,0,2,0,0,0,1,1,0
37,28,1,2,0,3,1,0,0,1,1,0
27,19,0,2,0,2,0,0,0,1,1,0
16,8,1,1,0,3,0,0,0,0,0,0
52,45,0,4,3,2,1,0,0,0,3,0
28,20,0,2,0,2,0,0,0,1,1,0
20,12,0,2,0,2,0,0,0,1,1,0
32,24,0,2,0,2,0,0,0,1,1,0
34,25,1,2,1,3,6,0,0,1,1,0
23,15,0,3,0,2,0,0,0,1,2,0
20,12,0,2,0,2,0,0,0,1,1,0
26,18,0,2,0,2,0,0,0,1,1,0
64,25,12,2,0,4,16,4,0,0,1,0
55,47,0,3,4,2,18,0,0,1,2,0
25,17,0,2,0,2,0,0,0,1,1,0
25,17,0,2,0,2,0,0,0,1,1,0
29,21,0,2,0,2,0,0,0,1,1,0
35,27,0,2,0,2,0,0,0,1,1,0
28,20,0,3,1,2,0,0,0,1,2,0
41,33,0,2,0,2,0,0,0,1,1,0
29,21,0,2,0,2,0,0,0,1,1,0
55,46,1,3,3,3,0,0,0,1,2,0
43,34,1,2,2,3,6,0,0,1,1,0
19,11,0,2,0,2,0,0,0,1,1,0
27,20,0,3,0,2,7,0,0,0,2,0
46,37,1,2,0,3,19,0,0,1,1,0
31,23,0,2,0,2,0,0,0,1,1,0
34,26,0,4,0,2,0,0,0,1,3,0
26,18,0,2,0,2,0,0,0,1,1,0
48,39,1,3,0,3,0,0,0,1,2,0
20,13,0,2,0,2,0,0,0,0,1,0
21,13,0,3,0,2,0,0,0,1,2,0
25,17,0,3,0,2,0,0,0,1,2,0
21,13,0,2,0,2,0,0,0,1,1,0
35,27,0,2,0,2,0,0,0,1,1,0
26,17,1,2,0,3,0,0,0,1,1,0
29,21,0,2,0,2,0,0,0,1,1,0
23,15,0,2,0,2,0,0,0,1,1,0
27,19,0,2,0,2,0,0,0,1,1,0
27,19,0,2,0,2,0,0,0,1,1,0
32,24,0,2,2,2,0,0,0,1,1,0
36,27,1,2,2,3,1,0,0,1,1,0
71,39,24,7,1,5,1,1,0,1,5,0
22,14,0,2,0,2,0,0,0,1,1,0
48,41,0,2,0,2,17,0,0,0,1,0
31,23,0,2,0,2,0,0,0,1,1,0
21,13,1,3,0,3,10,0,1,0,2,0
89,7,74,1,0,5,9,1,0,1,0,0
31,23,0,2,0,2,0,0,0,1,1,0
23,15,0,3,0,2,0,0,0,1,2,0
22,15,0,2,0,2,0,0,0,0,1,0
25,17,0,2,0,2,0,0,0,1,1,0
21,13,0,2,0,2,2,0,0,1,1,0
46,39,0,4,3,2,1,0,0,0,3,0
22,14,0,3,0,2,0,0,0,1,2,0
31,23,0,2,0,2,0,0,0,1,1,0
35,27,0,2,0,2,0,0,0,1,1,0
21,13,0,2,0,2,0,0,0,1,1,0
30,23,0,2,0,2,0,0,0,0,1,0
22,15,0,2,0,2,0,0,0,0,1,0
18,10,0,2,0,2,3,0,0,1,1,0
24,16,0,2,0,2,0,0,0,1,1,0
31,23,0,2,1,2,0,0,0,1,1,0
47,39,0,2,0,2,0,0,0,1,1,0
26,18,0,2,0,2,0,0,0,1,1,0
35,26,1,2,0,3,2,0,0,1,1,0
36,28,0,2,0,2,0,0,0,1,1,0
36,28,0,2,2,2,0,0,0,1,1,0
45,28,10,3,2,3,0,0,0,0,1,0
31,23,0,2,0,2,0,0,0,1,1,0
43,34,1,2,1,3,0,0,0,1,1,0
24,16,0,3,0,2,0,0,0,1,2,0
38,31,0,2,2,2,4,0,0,0,1,0
21,13,0,2,0,2,0,0,0,1,1,0
25,17,0,2,0,2,0,0,0,1,1,0
33,25,0,3,0,2,0,0,0,1,2,0
30,22,0,3,1,2,0,0,0,1,2,0
48,41,0,2,0,2,21,0,0,0,1,0
23,15,0,2,0,2,0,0,0,1,1,0
24,17,0,2,0,2,0,0,0,0,1,0
27,19,0,3,0,2,0,0,0,1,2,0
23,15,0,2,1,2,0,0,0,1,1,0
77,25,45,4,0,7,2,0,0,0,2,1
22,14,0,2,0,2,0,0,0,1,1,0
26,18,0,2,0,2,0,0,0,1,1,0
28,20,0,2,0,2,0,0,0,1,1,0
24,17,0,2,0,2,0,0,0,0,1,0
27,19,0,2,0,2,0,0,0,1,1,0
98,26,7,1,1,4,6,5,0,1,0,0
27,19,0,2,0,2,0,0,0,1,1,0
39,31,0,2,0,2,0,0,0,1,1,0
40,32,0,2,0,2,0,0,0,1,1,0
28,20,0,2,0,2,0,0,0,1,1,0
20,12,0,2,0,2,0,0,0,1,1,0
29,22,0,2,0,2,0,0,0,0,1,0
26,18,0,2,0,2,0,0,0,1,1,0
31,23,0,2,0,2,0,0,0,1,1,0
32,24,0,2,2,2,0,0,0,1,1,0
21,13,0,3,0,2,0,0,0,1,2,0
31,23,0,2,0,2,0,0,0,1,1,0
24,16,0,2,0,2,0,0,0,1,1,0
30,22,0,3,0,2,0,0,0,1,2,0
23,15,0,2,0,2,0,0,0,1,1,0
32,24,0,2,1,2,0,0,0,1,1,0
21,13,0,2,0,2,0,0,0,1,1,0
25,17,0,2,0,2,0,0,0,1,1,0
34,25,1,2,1,3,6,0,0,1,1,0
31,23,0,3,0,2,0,0,0,1,2,0
34,26,0,2,0,2,0,0,0,1,1,0
30,22,0,2,0,2,0,0,0,1,1,0
25,17,0,2,1,2,0,0,0,1,1,0
31,23,0,2,0,2,0,0,0,1,1,0
26,18,0,3,0,2,1,0,0,1,2,0
28,20,0,2,0,2,0,0,0,1,1,0
32,23,1,2,1,3,0,0,0,1,1,0
33,25,0,2,0,2,0,0,0,1,1,0
25,17,0,3,0,2,0,0,0,1,2,0
26,18,0,2,0,2,0,0,0,1,1,0
26,18,0,3,0,2,0,0,0,1,2,0
32,25,0,3,1,2,0,0,0,0,2,0
28,20,0,3,0,2,0,0,0,1,2,0
25,17,0,3,0,2,0,0,0,1,2,0
24,16,0,2,0,2,0,0,0,1,1,0
28,20,0,2,0,2,0,0,0,1,1,0
24,16,0,2,1,2,0,0,0,1,1,0
30,22,0,3,1,2,0,0,0,1,2,0
28,20,0,2,0,2,0,0,0,1,1,0
31,23,0,2,0,2,0,0,0,1,1,0
28,20,0,2,0,2,0,0,0,1,1,0
36,28,0,2,1,2,0,0,0,1,1,0
21,13,0,2,0,2,0,0,0,1,1,0
29,21,0,2,0,2,0,0,0,1,1,0
42,33,1,2,0,3,0,0,0,1,1,0
74,29,7,1,2,4,2,4,0,1,0,0
25,17,0,2,0,2,0,0,0,1,1,0
25,17,0,2,0,2,0,0,0,1,1,0
24,16,0,2,0,2,0,0,0,1,1,0
28,21,0,3,0,2,0,0,0,0,2,0
29,21,0,2,0,2,0,0,0,1,1,0
25,17,0,2,0,2,0,0,0,1,1,0
31,23,0,2,1,2,0,0,0,1,1,0
38,30,0,2,0,2,0,0,0,1,1,0
24,16,0,2,0,2,0,0,0,1,1,0
27,19,0,2,0,2,0,0,0,1,1,0
20,12,0,2,0,2,0,0,0,1,1,0
30,22,0,2,0,2,0,0,0,1,1,0
28,20,0,2,0,2,0,0,0,1,1,0
37,29,0,2,0,2,0,0,0,1,1,0
24,17,0,3,0,2,0,0,0,0,2,0
19,11,0,2,0,2,0,0,0,1,1,0
21,13,0,2,0,2,0,0,0,1,1,0
20,12,0,2,0,2,0,0,0,1,1,0
24,16,0,2,0,2,0,0,0,1,1,0
20,13,0,2,0,2,0,0,0,0,1,0
21,14,0,2,0,2,0,0,0,0,1,0
33,26,0,3,0,2,0,0,0,0,2,0
31,23,0,3,0,2,0,0,0,1,2,0
24,16,0,2,0,2,0,0,0,1,1,0
22,15,0,2,0,2,0,0,0,0,1,0
21,13,0,3,0,2,0,0,0,1,2,0
27,19,0,3,0,2,0,0,0,1,2,0
30,22,0,2,0,2,0,0,0,1,1,0
25,17,0,2,0,2,1,0,0,1,1,0
25,18,0,2,0,2,0,0,0,0,1,0
31,22,1,2,0,3,1,0,0,1,1,0
27,20,0,3,0,2,7,0,0,0,2,0
47,21,18,2,1,5,0,0,0,1,1,0
47,24,15,2,1,4,1,0,0,1,1,0
25,18,0,2,0,2,0,0,0,0,1,0
24,16,0,2,0,2,0,0,0,1,1,0
29,18,1,2,0,4,0,0,0,1,1,0
29,21,0,2,0,2,0,0,0,1,1,0
26,18,0,2,0,2,0,0,0,1,1,0
29,22,0,3,0,2,1,0,0,0,2,0
24,16,0,2,0,2,0,0,0,1,1,0
24,16,0,2,0,2,0,0,0,1,1,0
28,20,0,2,0,2,0,0,0,1,1,0
71,23,40,1,0,4,6,0,0,1,0,0
34,26,0,2,0,2,0,0,0,1,1,0
29,21,0,2,0,2,0,0,0,1,1,0
59,52,0,3,5,2,0,0,0,0,2,1
31,24,0,4,0,2,0,0,0,0,3,0
31,23,0,2,0,2,0,0,0,1,1,0
27,19,0,2,0,2,0,0,0,1,1,0
26,18,0,2,0,2,0,0,0,1,1,0
20,12,0,2,0,2,0,0,0,1,1,0
27,19,0,2,0,2,0,0,0,1,1,0
24,17,0,2,0,2,0,0,0,0,1,0
24,16,0,2,0,2,0,0,0,1,1,0
41,34,0,3,0,2,0,0,0,0,2,0
29,21,0,2,0,2,0,0,0,1,1,0
25,17,0,2,1,2,0,0,0,1,1,0
25,17,0,2,0,2,0,0,0,1,1,0
23,16,0,2,0,2,0,0,0,0,1,0
38,30,0,2,0,2,0,0,0,1,1,0
